solutionId,criteriaId,referenceQuestionSetId,questionId,referenceQuestionId,status,isFailed,reasons
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8f6,do_214103782724362240176,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f906,do_214103788124954624177,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8f7,do_214103806490443776178,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8fe,do_214103806492737536179,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8ff,do_214103806494089216180,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f900,do_214103806495440896181,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f901,do_214103806497652736182,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f902,do_214103806498881536183,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f903,do_214103806500339712184,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f904,do_214103806501871616185,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f905,do_214103806502887424186,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8f8,do_214103806504861696187,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8f9,do_214103806506221568188,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8fa,do_214103806507819008189,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8fb,do_214103806508843008190,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8fc,do_214103806510391296191,draft,No,
5f34e44681871d939950bca7,,do_214103641654362112175,5f34ae09585244939f89f8fd,do_214103806511734784192,draft,No,
